has_null,wave,gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match,person_id
0,1.0,female,24.0,24.0,European/Caucasian-American,Latino/Hispanic American,0,2.0,5.0,law,30.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,7.0,8.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,6.0,8.0,7.0,9.0,7.0,8.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.32,4.0,5.0,3.0,8.0,6.0,1.0,0,1,0,2
0,1.0,female,24.0,25.0,European/Caucasian-American,European/Caucasian-American,1,2.0,5.0,law,50.0,0.0,30.0,10.0,0.0,10.0,7.0,8.0,7.0,5.0,7.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,8.0,7.0,8.0,3.0,6.0,2.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.73,4.0,5.0,3.0,6.0,5.0,0.0,0,1,0,2
0,1.0,female,24.0,30.0,European/Caucasian-American,European/Caucasian-American,1,2.0,5.0,law,35.0,15.0,25.0,10.0,5.0,10.0,5.0,3.0,4.0,3.0,5.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,7.0,5.0,9.0,6.0,7.0,9.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.6,4.0,5.0,3.0,8.0,7.0,0.0,1,0,0,2
0,1.0,female,24.0,27.0,European/Caucasian-American,European/Caucasian-American,1,2.0,5.0,law,33.33,11.11,11.11,11.11,11.11,22.22,7.0,7.0,7.0,7.0,7.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,5.0,8.0,7.0,5.0,9.0,5.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.07,4.0,5.0,3.0,5.0,6.0,0.0,0,1,0,2
0,1.0,female,24.0,28.0,European/Caucasian-American,European/Caucasian-American,1,2.0,5.0,law,50.0,0.0,25.0,10.0,0.0,15.0,8.0,6.0,9.0,9.0,8.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,7.0,6.0,8.0,9.0,4.0,5.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.11,4.0,5.0,3.0,5.0,6.0,0.0,1,1,1,2
0,1.0,female,24.0,24.0,European/Caucasian-American,European/Caucasian-American,1,2.0,5.0,law,100.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,7.0,9.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,6.0,7.0,8.0,7.0,9.0,8.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.39,4.0,5.0,3.0,8.0,7.0,0.0,1,0,0,2
1,1.0,female,25.0,27.0,European/Caucasian-American,European/Caucasian-American,1,8.0,4.0,Economics,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,6.0,5.0,8.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,10.0,7.0,8.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.24,4.0,2.0,,8.0,7.0,1.0,0,0,0,3
1,1.0,female,25.0,22.0,European/Caucasian-American,European/Caucasian-American,1,8.0,4.0,Economics,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,6.0,6.0,5.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,7.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.14,4.0,2.0,,8.0,7.0,0.0,0,0,0,3
1,1.0,female,25.0,22.0,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,8.0,4.0,Economics,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,7.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0.09,4.0,2.0,,8.0,7.0,0.0,0,1,0,3
1,1.0,female,25.0,23.0,European/Caucasian-American,European/Caucasian-American,1,8.0,4.0,Economics,30.0,5.0,15.0,40.0,5.0,5.0,7.0,9.0,8.0,8.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,7.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.04,4.0,2.0,,8.0,7.0,0.0,0,1,0,3
1,1.0,female,25.0,24.0,European/Caucasian-American,Latino/Hispanic American,0,8.0,4.0,Economics,30.0,10.0,20.0,10.0,10.0,20.0,6.0,10.0,8.0,6.0,,,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.14,4.0,2.0,,9.0,,0.0,0,1,0,3
1,1.0,female,25.0,25.0,European/Caucasian-American,European/Caucasian-American,1,8.0,4.0,Economics,50.0,0.0,30.0,10.0,0.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,7.0,9.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.3,4.0,2.0,,8.0,,0.0,0,1,0,3
1,1.0,female,25.0,30.0,European/Caucasian-American,European/Caucasian-American,1,8.0,4.0,Economics,35.0,15.0,25.0,10.0,5.0,10.0,6.0,3.0,5.0,4.0,5.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,7.0,7.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.26,4.0,2.0,,8.0,7.0,0.0,0,0,0,3
1,1.0,female,25.0,27.0,European/Caucasian-American,European/Caucasian-American,1,8.0,4.0,Economics,33.33,11.11,11.11,11.11,11.11,22.22,4.0,5.0,6.0,4.0,6.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,7.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0.29,4.0,2.0,,8.0,7.0,0.0,0,0,0,3
1,1.0,female,25.0,28.0,European/Caucasian-American,European/Caucasian-American,1,8.0,4.0,Economics,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,6.0,8.0,7.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.15,4.0,2.0,,9.0,7.0,0.0,0,1,0,3
1,1.0,female,25.0,24.0,European/Caucasian-American,European/Caucasian-American,1,8.0,4.0,Economics,100.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,5.0,8.0,6.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,7.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.47,4.0,2.0,,8.0,7.0,0.0,0,0,0,3
0,1.0,female,23.0,27.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Law,35.0,20.0,20.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,7.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,4.0,10.0,8.0,5.0,8.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,1.0,2.0,2.0,6.0,7.0,0.0,0,0,0,4
0,1.0,female,23.0,22.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,5.0,10.0,6.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,7.0,8.0,10.0,7.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,1.0,2.0,2.0,8.0,1.0,1.0,0,0,0,4
0,1.0,female,23.0,22.0,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,1.0,1.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,4.0,7.0,8.0,8.0,6.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.05,1.0,2.0,2.0,4.0,1.0,0.0,0,1,0,4
0,1.0,female,23.0,23.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,10.0,7.0,10.0,7.0,10.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,1.0,2.0,2.0,8.0,10.0,1.0,1,1,1,4
0,1.0,female,23.0,24.0,European/Caucasian-American,Latino/Hispanic American,0,1.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8.0,9.0,8.0,8.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,6.0,9.0,8.0,9.0,8.0,9.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.21,1.0,2.0,2.0,7.0,7.0,0.0,0,1,0,4
0,1.0,female,23.0,25.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Law,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,5.0,10.0,8.0,4.0,8.0,2.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.37,1.0,2.0,2.0,4.0,3.0,0.0,0,1,0,4
0,1.0,female,23.0,30.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Law,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,3.0,5.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,7.0,10.0,10.0,7.0,10.0,5.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.35,1.0,2.0,2.0,5.0,1.0,0.0,0,1,0,4
0,1.0,female,23.0,27.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Law,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,6.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,5.0,9.0,9.0,5.0,9.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.15,1.0,2.0,2.0,6.0,6.0,0.0,0,0,0,4
0,1.0,female,23.0,28.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Law,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,10.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,7.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.47,1.0,2.0,2.0,8.0,8.0,0.0,1,1,1,4
0,1.0,female,23.0,24.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Law,100.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.19,1.0,2.0,2.0,10.0,8.0,0.0,1,0,0,4
1,1.0,female,21.0,27.0,European/Caucasian-American,European/Caucasian-American,1,8.0,1.0,Law,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.43,7.0,10.0,,7.0,5.0,0.0,0,0,0,5
1,1.0,female,21.0,22.0,European/Caucasian-American,European/Caucasian-American,1,8.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,7.0,6.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0.0,7.0,10.0,,6.0,4.0,1.0,0,0,0,5
1,1.0,female,21.0,22.0,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,8.0,1.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,4.0,6.0,8.0,8.0,6.0,5.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.17,7.0,10.0,,6.0,5.0,1.0,0,1,0,5
1,1.0,female,21.0,23.0,European/Caucasian-American,European/Caucasian-American,1,8.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,6.0,8.0,10.0,10.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,8.0,5.0,5.0,7.0,7.0,9.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0.08,7.0,10.0,,8.0,2.0,1.0,1,1,1,5
1,1.0,female,21.0,24.0,European/Caucasian-American,Latino/Hispanic American,0,8.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,5.0,9.0,9.0,7.0,9.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.16,7.0,10.0,,7.0,4.0,0.0,0,0,0,5
1,1.0,female,21.0,25.0,European/Caucasian-American,European/Caucasian-American,1,8.0,1.0,Law,50.0,0.0,30.0,10.0,0.0,10.0,5.0,8.0,7.0,7.0,7.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,5.0,6.0,7.0,5.0,7.0,8.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0.06,7.0,10.0,,7.0,3.0,0.0,1,0,0,5
1,1.0,female,21.0,30.0,European/Caucasian-American,European/Caucasian-American,1,8.0,1.0,Law,35.0,15.0,25.0,10.0,5.0,10.0,2.0,3.0,4.0,4.0,5.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,6.0,6.0,8.0,5.0,5.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.05,7.0,10.0,,6.0,3.0,0.0,1,0,0,5
1,1.0,female,21.0,27.0,European/Caucasian-American,European/Caucasian-American,1,8.0,1.0,Law,33.33,11.11,11.11,11.11,11.11,22.22,5.0,5.0,6.0,5.0,5.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,5.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0.07,7.0,10.0,,6.0,4.0,0.0,1,0,0,5
1,1.0,female,21.0,28.0,European/Caucasian-American,European/Caucasian-American,1,8.0,1.0,Law,50.0,0.0,25.0,10.0,0.0,15.0,5.0,9.0,9.0,9.0,9.0,6.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,7.0,5.0,7.0,8.0,7.0,9.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.13,7.0,10.0,,9.0,4.0,0.0,1,1,1,5
